feature,mdi_mean,mdi_std,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,combined,rank,cumulative
 Destination Port,0.029178803192939473,0.0014403373367218517,0.03807147167630158,0.0037643880048615075,0.04047707130308302,0.0017899707371688278,0.03558565125689441,0.0058065926656440305,0.4566623690229616,1,0.4566623690229616
 Fwd IAT Min,0.006291699189648342,0.0008519791609593398,0.006740048563806433,0.00015475091571782676,0.0025982132116162404,0.00022517091988590948,0.01078521888784909,0.0002458894961907767,0.07404240051634065,2,0.5307047695393022
 Packet Length Variance,0.10246263850851837,0.0015323364337762788,0.0001326070782003752,3.256926625097926e-05,0.0003122213775265337,5.250064025907346e-05,0.0,0.0,0.042898744720347666,3,0.57360351425965
 Bwd Packet Length Std,0.09552528069032742,0.001349771199065273,7.096331835965142e-05,3.694853044710383e-05,0.00012559038628219278,5.7403431101968474e-05,1.8570076782165045e-05,1.7104641777131226e-05,0.039122255598942106,4,0.6127257698585921
Init_Win_bytes_forward,0.008954047069988858,0.0007053588151681398,0.0027129926494302127,0.0013665037204098373,0.004155918714936102,0.0022271590684699214,0.0012460460315158127,0.0004956459257101867,0.03722547144867738,5,0.6499512413072694
 Average Packet Size,0.07892396425057731,0.0019935866442139082,0.00010450085901727579,5.392014839268073e-05,0.0003143761959681246,0.00012400563794973278,0.0,0.0,0.03332554999450722,6,0.6832767913017767
 Avg Bwd Segment Size,0.0624419542782416,0.0016271302840216379,4.983685836841278e-05,1.7526542674490717e-05,0.00011843584470099256,2.0829485917857865e-05,4.2914830816753735e-06,8.582966163350747e-06,0.025708879968916725,7,0.7089856712706933
 Packet Length Std,0.04555858899337366,0.0019803350628501215,8.29418236166557e-05,8.583777411544664e-06,0.00022886852656234247,2.349505354171868e-05,0.0,0.0,0.019542222391431947,8,0.7285278936621253
 Subflow Bwd Bytes,0.03928500064440201,0.002235445294770499,5.601912363522033e-05,1.277255582644957e-05,0.0001240309305035714,3.085919207022586e-05,7.549005316853652e-07,1.50980106337073e-06,0.01649546278123434,9,0.7450233564433597
 Max Packet Length,0.036171424984029824,0.0021998828079442504,3.5705947632069804e-05,8.816294416144525e-06,0.00010547992846883236,1.7113339120008757e-05,0.0,0.0,0.015061524698639507,10,0.7600848811419992
 Packet Length Mean,0.030395355933419244,0.0007017390306641862,0.00012659528138756482,2.0986129779620304e-05,0.00033703178508448506,2.829244546648236e-05,0.0,0.0,0.01412642806418712,11,0.7742113092061863
 Bwd Packet Length Mean,0.03265150131719776,0.0017337243070918126,1.878768999015179e-05,1.3580406533400043e-05,6.356307576100839e-05,2.7360553162941036e-05,0.0,0.0,0.013401846409301124,12,0.7876131556154874
Bwd Packet Length Max,0.03144622553244853,0.001064137919222661,5.429175205555748e-05,1.8259749730199838e-05,0.00012928211465554896,2.7203593279775717e-05,0.0,0.0,0.013367260524723342,13,0.8009804161402108
 Init_Win_bytes_backward,0.010325773516530492,0.001634523973044025,0.0005368997965562228,4.92219487234306e-05,0.0009241252638223729,7.654081883577571e-05,0.00014709501417815575,3.99543567430064e-05,0.01095057791100699,14,0.8119309940512177
 Subflow Fwd Bytes,0.022245786406267544,0.0028490178535853328,0.00010790759012289098,3.302384848414982e-05,0.0002945183228756143,6.471556089260536e-05,0.0,0.0,0.010602305360018745,15,0.8225332994112364
Subflow Fwd Packets,0.02085937523348089,0.0028942806259854743,5.172835102755791e-05,3.2125347803134974e-05,0.00014359045987417663,4.551891363146404e-05,0.0,0.0,0.009169328901587585,16,0.831702628312824
Total Length of Fwd Packets,0.018876634889453063,0.0017494228303427432,0.0001085893012221728,4.263765238596135e-05,0.0002585641440510544,5.1512462846381004e-05,5.408158131325891e-07,1.0816316262651782e-06,0.009129351749130534,17,0.8408319800619546
 Total Length of Bwd Packets,0.01974703267827243,0.0023831742860886966,8.445337031666167e-05,3.568542325625613e-05,0.00018151785063849068,5.68649237001234e-05,0.0,0.0,0.009054727904390521,18,0.8498867079663451
 Fwd Packet Length Mean,0.017439814693599752,0.001408953828518237,0.00010258698089580243,6.699174186569172e-05,0.00028571273283872767,0.0001313263829789083,0.0,0.0,0.008616634781346983,19,0.8585033427476921
 Total Fwd Packets,0.018287560982268487,0.0021688111113520054,4.5355382386547125e-05,1.235207834323743e-05,0.00010174257598514203,1.9788734534455935e-05,0.0,0.0,0.00795125500174832,20,0.8664545977494404
 PSH Flag Count,0.011438556660859814,0.0016244462321726694,0.0002634414922352502,4.660384308158336e-05,0.0004522368373599317,7.115587864292348e-05,7.367658224428641e-05,4.2789401246999114e-05,0.00792068095217318,21,0.8743752787016136
 Fwd Header Length,0.015958602637291118,0.0006060990525213154,8.024976603964174e-05,3.819090652023874e-05,0.00021744918277648572,6.148132251317356e-05,1.2163933453379628e-06,2.4327866906759255e-06,0.007647472423536453,22,0.88202275112515
 Fwd Header Length.1,0.013839081309863463,0.001752255317517957,0.00011216934745770236,5.363625148758878e-05,0.00026911168794643283,8.796886287223229e-05,2.7525004151485177e-06,5.505000830297036e-06,0.007178273743293705,23,0.8892010248684438
 Fwd Packet Length Max,0.01423663042219985,0.0016912217427642465,9.006187851967606e-05,2.7389517452934994e-05,0.0002464560926088266,5.5469157387404535e-05,0.0,0.0,0.0071191778753857855,24,0.8963202027438295
 URG Flag Count,0.00227815719776621,0.00033451024465570487,0.0004858988131465347,3.414460623799249e-05,0.0007773244495855814,5.8625977990706054e-05,0.00019277968989648287,2.1340304991397574e-05,0.006993482605678802,25,0.9033136853495083
 min_seg_size_forward,0.014248904142142568,0.0003131014615111455,5.904748227592016e-05,2.5225356831163877e-05,0.00019743069656135147,3.322373296276105e-05,0.0,0.0,0.006763566287041319,26,0.9100772516365496
 Bwd Header Length,0.012491913741438968,0.002267409345354426,7.200910970566188e-05,4.8585404496683236e-05,0.00015773852091440776,0.00010134257579702605,8.318059233780594e-06,1.1116132784316118e-05,0.006010398098172002,27,0.9160876497347217
 act_data_pkt_fwd,0.0120872268496752,0.0008551893924556675,1.3418254673203122e-05,1.1928030597235112e-05,5.5330870852543514e-05,2.304828968809806e-05,0.0,0.0,0.005114647227282143,28,0.9212022969620038
 Flow Packets/s,0.01274054869948757,0.001533436047604219,0.0,0.0,0.0,0.0,0.0,0.0,0.005096219479795029,29,0.9262985164417988
Flow Bytes/s,0.011932664075943875,0.0005428933317385627,0.0,0.0,0.0,0.0,0.0,0.0,0.004773065630377551,30,0.9310715820721764
 Fwd IAT Mean,0.010951012574814494,0.001021443418304491,1.892162861771851e-06,3.784325723543702e-06,6.039792597185567e-05,5.027762503462992e-05,0.0,0.0,0.004610656122683738,31,0.9356822381948602
 Flow IAT Std,0.008130338703281104,0.0013378563441570246,6.441875760563321e-05,3.825522989616721e-05,0.00021676100623297946,6.47586805214767e-05,0.0,0.0,0.0044179011105485435,32,0.9401001393054087
