feature,mdi_mean,mdi_std,importance,rank,cumulative
 Bwd Packet Length Std,0.1313894043523136,0.002276986517157631,0.1313894043523136,1,0.1313894043523136
 Avg Bwd Segment Size,0.08559305410055293,0.0010886649693368161,0.08559305410055293,2,0.21698245845286654
 Packet Length Variance,0.08488612567913525,0.0010089896225098614,0.08488612567913525,3,0.3018685841320018
 Bwd Packet Length Mean,0.06097852183448264,0.00035173086127757137,0.06097852183448264,4,0.36284710596648445
 Packet Length Std,0.0589622031825459,0.0005276076636797482,0.0589622031825459,5,0.42180930914903036
 Average Packet Size,0.057312524755720504,0.0007173072937090312,0.057312524755720504,6,0.4791218339047509
 Max Packet Length,0.042695392165041875,0.0005756842989324431,0.042695392165041875,7,0.5218172260697928
Bwd Packet Length Max,0.03824411873306143,0.00038375015761321526,0.03824411873306143,8,0.5600613448028542
 Packet Length Mean,0.0333773019175508,0.00117894628991958,0.0333773019175508,9,0.593438646720405
 Destination Port,0.027460513829240262,0.001716337439797218,0.027460513829240262,10,0.6208991605496453
Subflow Fwd Packets,0.021714212359316434,0.001604024688775362,0.021714212359316434,11,0.6426133729089618
 Total Fwd Packets,0.020351473771461643,0.001381113662877362,0.020351473771461643,12,0.6629648466804234
Total Length of Fwd Packets,0.02022183797015451,0.0012394122799043175,0.02022183797015451,13,0.683186684650578
 Subflow Bwd Bytes,0.0200950149538796,0.0008933202279465695,0.0200950149538796,14,0.7032816996044575
 min_seg_size_forward,0.017846559744034002,0.00071741093060167,0.017846559744034002,15,0.7211282593484916
 Subflow Fwd Bytes,0.017080099506249634,0.0012949140353931282,0.017080099506249634,16,0.7382083588547412
 Bwd Header Length,0.016146581650885658,0.0011697842095603583,0.016146581650885658,17,0.7543549405056269
 Total Length of Bwd Packets,0.015213794359090132,0.0020494600510449355,0.015213794359090132,18,0.769568734864717
 Fwd Packet Length Max,0.013847054607157466,0.0008688051805667285,0.013847054607157466,19,0.7834157894718745
 Fwd Header Length,0.01195134630225741,0.00047111533678347793,0.01195134630225741,20,0.7953671357741319
 Bwd Packets/s,0.011929062863706024,0.0005007921185487557,0.011929062863706024,21,0.8072961986378379
 Avg Fwd Segment Size,0.0103245556621198,0.0009792867053394184,0.0103245556621198,22,0.8176207542999576
 PSH Flag Count,0.00993729281071692,0.000978965542206814,0.00993729281071692,23,0.8275580471106745
 Total Backward Packets,0.009272380003163924,0.00025378578435407173,0.009272380003163924,24,0.8368304271138384
 act_data_pkt_fwd,0.009222451489075856,0.00042595916721934715,0.009222451489075856,25,0.8460528786029142
 Fwd Header Length.1,0.009210339297576003,0.0010023840564386138,0.009210339297576003,26,0.8552632179004902
 Subflow Bwd Packets,0.009013474754449781,0.0007519905756936526,0.009013474754449781,27,0.86427669265494
 Fwd Packet Length Mean,0.009001700930616724,0.0010285674586212451,0.009001700930616724,28,0.8732783935855567
 Init_Win_bytes_backward,0.008863545620196638,0.0005665031200866449,0.008863545620196638,29,0.8821419392057533
Flow Bytes/s,0.007813368299258347,0.0006301464564597096,0.007813368299258347,30,0.8899553075050117
 ACK Flag Count,0.0077671959497569625,0.00028244674556635036,0.0077671959497569625,31,0.8977225034547687
 Flow IAT Mean,0.007683289354225345,0.0005975161302762696,0.007683289354225345,32,0.905405792808994
 Idle Max,0.007268227148366742,0.00020673737966449006,0.007268227148366742,33,0.9126740199573607
 Fwd IAT Min,0.006475694081032798,0.0003096495238330341,0.006475694081032798,34,0.9191497140383935
 Fwd IAT Std,0.00607571218789093,0.00043642811446226995,0.00607571218789093,35,0.9252254262262845
 Fwd IAT Max,0.00603386240311008,0.0005160821645595182,0.00603386240311008,36,0.9312592886293946
 Flow Packets/s,0.0059871447223180255,0.0008347560650783078,0.0059871447223180255,37,0.9372464333517125
Init_Win_bytes_forward,0.00572582886458771,0.0003859011375320631,0.00572582886458771,38,0.9429722622163003
Fwd IAT Total,0.005624911528366195,0.0010233346825674191,0.005624911528366195,39,0.9485971737446665
 Flow IAT Std,0.005074514953286547,0.0017057993277036505,0.005074514953286547,40,0.953671688697953
 Fwd IAT Mean,0.004931200593220368,0.0006808916967564361,0.004931200593220368,41,0.9586028892911734
Idle Mean,0.003317744863802757,4.776417254890604e-05,0.003317744863802757,42,0.9619206341549762
 Fwd Packet Length Std,0.003131008196738216,0.0004955646635150128,0.003131008196738216,43,0.9650516423517144
 Flow IAT Max,0.0031152313014652924,0.0002977901781071431,0.0031152313014652924,44,0.9681668736531797
Fwd Packets/s,0.003008144360354014,0.0006373401411370356,0.003008144360354014,45,0.9711750180135337
 Bwd IAT Mean,0.002911113951467362,0.0005752495785089443,0.002911113951467362,46,0.974086131965001
 Flow IAT Min,0.0025805116521185646,0.00012176255260898634,0.0025805116521185646,47,0.9766666436171196
 Flow Duration,0.002501514471587264,0.00024182292775074362,0.002501514471587264,48,0.9791681580887069
 Fwd Packet Length Min,0.001975151873247111,0.00036616930862809206,0.001975151873247111,49,0.9811433099619541
 Min Packet Length,0.001928680247626436,0.0003350852236078363,0.001928680247626436,50,0.9830719902095806
 Idle Min,0.001827611580058042,5.488612508964514e-05,0.001827611580058042,51,0.9848996017896386
 Bwd IAT Std,0.0018199329390528834,0.0001958150219581956,0.0018199329390528834,52,0.9867195347286916
 Bwd IAT Max,0.0018084300306967262,0.00031546553668721584,0.0018084300306967262,53,0.9885279647593883
FIN Flag Count,0.0017979771476812033,0.00024721415625284676,0.0017979771476812033,54,0.9903259419070695
 Bwd IAT Min,0.0017308243984320796,0.00024878080997485866,0.0017308243984320796,55,0.9920567663055015
Bwd IAT Total,0.001617942802025725,0.00019777690650876165,0.001617942802025725,56,0.9936747091075273
 Active Std,0.0011229655435369959,5.853134142179552e-05,0.0011229655435369959,57,0.9947976746510643
 URG Flag Count,0.001082096270868165,0.0001483442544316737,0.001082096270868165,58,0.9958797709219325
 Bwd Packet Length Min,0.0010403992544141393,0.0006021602425960132,0.0010403992544141393,59,0.9969201701763466
 Active Max,0.0006497945904347873,0.0001306785882319887,0.0006497945904347873,60,0.9975699647667814
Fwd PSH Flags,0.0005593911268837929,9.470614141710151e-05,0.0005593911268837929,61,0.9981293558936651
 Down/Up Ratio,0.0005100104675517341,0.00016339862721388783,0.0005100104675517341,62,0.9986393663612169
 SYN Flag Count,0.0005046232453346241,3.426180917937956e-05,0.0005046232453346241,63,0.9991439896065515
Active Mean,0.00043110958138276034,6.247501812455172e-05,0.00043110958138276034,64,0.9995750991879342
 Active Min,0.0002925568293434093,8.585208108203235e-05,0.0002925568293434093,65,0.9998676560172776
 Idle Std,0.00013234398272255572,2.6628962306804588e-05,0.00013234398272255572,66,1.0000000000000002
