group_id,size,representative,rep_mi,dropped
1,6, Total Length of Bwd Packets,0.3, Subflow Bwd Bytes; Subflow Bwd Packets; Total Backward Packets; Total Fwd Packets;Subflow Fwd Packets
2,5, Fwd IAT Max,0.2305, Flow IAT Max; Idle Max; Idle Min;Idle Mean
3,4, Bwd Packet Length Mean,0.2955, Avg Bwd Segment Size; Bwd Packet Length Std;Bwd Packet Length Max
4,2, Average Packet Size,0.3525, Packet Length Mean
5,2, Fwd Packet Length Mean,0.2071, Avg Fwd Segment Size
6,2, CWE Flag Count,0.0, Fwd URG Flags
7,2, RST Flag Count,0.0001, ECE Flag Count
8,2,Fwd IAT Total,0.2182, Flow Duration
9,2,Fwd Packets/s,0.1772, Flow Packets/s
10,2, Fwd Header Length.1,0.1924, Fwd Header Length
11,2, Fwd Packet Length Max,0.245, Fwd Packet Length Std
12,2, Packet Length Std,0.3351, Max Packet Length
13,2,Fwd PSH Flags,0.012, SYN Flag Count
14,2, Subflow Fwd Bytes,0.2697,Total Length of Fwd Packets
